etag,title,description,channelTitle,publishTime,thumbnails,channelId,videoId,length,view_count,language,video_id,transcript,score,reason
te5glOJiH_XyuhT77lk6J6zGlfI,Me vs Grandma Cooking Challenge | Simple Secret Kitchen Hacks and Tools by Multi DO Challenge,Who will win the culinary battle? Let's all go to the new challenge together! Be sure to share it with your friends! And don't forget to ...,Multi DO Challenge,2025-04-21T11:02:00Z,"{'default': {'url': 'https://i.ytimg.com/vi/KUmUBbyQizM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KUmUBbyQizM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KUmUBbyQizM/hqdefault.jpg', 'width': 480, 'height': 360}}",UCKZTeZmkmdhEldL1oBMu6LA,KUmUBbyQizM,1442,220913,en,KUmUBbyQizM,"[Music] Now we'll find out what the baby wants. Wow, she wants a watermelon. Will you do it? Can you do it? Well, if my sister wants a watermelon, then here you go. I'm off to rest. Call me when I win. H. Now we'll set up all the equipment. Oh. Oh, what's that noise? It's a watermelon. Well, and our grandmother don't fall anymore. Oh, okay. Chef, what did I want? A watermelon. Now, we will make watermelon fresh. Let's open the watermelon and use a blender. Oh, how to stop it? Oh, okay. I have to be very nice and gentle. There we go. Only seeds remain. Why use that? I think the baby doesn't want a watermelon. She wants a watermelon cake. This is a baby. They like sweets. I have already prepared the dough for biscuits. We pour it into molds. And now the most interesting thing, it's coloring. I recently bought some new dyes. I really want to try it. Let's start with this one. M. It's very tasty. Let's pour the dyes into our dough and mixing it. What a delight. Look at these [Music] colors. So, we have done the most difficult part. It remains to bake it. Well, I'll wait for you. While my cakes are being prepared, I can Yeah. work out a little. Oh, the chef is kind of weird. Okay, I've whipped up the inside of the watermelon. Now we can make jelly and some honey, of course. I collected it this morning. We pour everything in. Oh, perfect. [Music] Oh, what is this? Oh, he wants my honey. I won't give it. This is for my granddaughter. I'll catch you. Oh, there you are. Oh. Oh, Katie, I'm sorry, darling. Oh, what was that? Oh, it hurts so bad. That's really funny. So, here is our last one. And we need full concentration. Making the perfect shape. That's perfect. Moving on to cream. I wish you knew how good it is. And I'll use this little spatula to make it even. Perfect. Now, let's take some colors. No wonder mom sent me to art school before cooking. This thing is actually looking like a watermelon. Now, let's not forget about the green pattern. There you go. This is a watermelon cake. Wow. Oh, I have Oh, like mine are not that beautiful, actually. Oh, what about me? I'll cut it now. There we go. I think I did a very good job, too. Well, let's cut it. I hope the baby will like it. It looks amazing, actually. Oh, perfect. Moving on. Oh, did you do that on your own? It looks great. And what do I have? Just a watermelon. Okay, I'll fix it now. I'll pour my favorite Fanta into the watermelon. I will get a watermelon with a taste of soda. And it's pretty cool. I'm so smart. Everything looks so appetizing. What is this? Jelly watermelon. We need to try it. H. It tastes like honey. I love honey. This is absolutely delicious. What is this? Sis decided not to try and give me a regular watermelon with soda. Okay, let's try it. I'm cutting it. And wow, is it blue inside? It looks so cool. Let's try it [Music] soon. Watermelon with berry Fanta flavor. Cool. And what's here? Let's try it. I'm going to cut a piece. What? It's rainbow cake. Wow, this was my dream. Oh, this is so yummy. Chef, you're the best. You're the winner. Oh, yeah. I'm the best. Have you heard that? I'm the best. Baby, what are you going to ask for this time? Wow, those are Oreo cookies. One second. I brought something. I always have a case with different chocolates from all over the world. I only use it in very important challenges like this one. H. These are perfect. First, I'll crack some chocolate. Yeah, the more the better. And even more. And more. More. And more. Now, let's arm ourselves with my flammable buddies. We'll melt down our chocolate friends a [Music] little. Great. Take note, it's actually pretty cool. Perfect. Moving on. Oh, it's too It's too hot. Oh, no. My my hands. But we need to pour the chocolate into the mold. I'm doing it. That's it. It was very hot. My hands almost melted. Oh, you're a professional, of course. So, I'm almost ready with the dough. And we're going to add some cacao. It's going to be chocolate dough. Well, I definitely know how to make dough. I'm making these little round circles. And we're baking them. Oh, perfect. How pretty they turned out. My granddaughter will definitely like it. Kate, what do you think? What? Um, granny, why make waffles? My sister drew an Oreo. Maybe you could just wipe your glasses. Opening the packaging, putting it on a plate, and perfect. No, don't be upset, Grandma. You'll win another round. Oh, they're so amazing. And I'm so hungry. Well, I'll just try one piece. I think nothing will happen. Oh, I'm just going to lick it off. Oh, it's amazing. Just perfect. I need everything. Oh, yes. It's so delicious. I can't stop. Who made these cookies? Oh, maybe we should stop her. Write in the comments and I'll continue to cook Oreo according to my author's recipe. Waffles plus peanut butter paste and plus waffle. Ready? Perfect Oreos from your beloved grandmother. What about you, Chef? Well, I have the perfect Oreo. I have already prepared all the necessary layers and we're moving on. It remains to lay out the pattern and it's going to look like the original [Music] cookie. Perfect. Ready. The perfect huge pink Oreo is ready. What's going on with Kate? This was so good. Wait, what? The last cookie. Did I eat everything? Oh, what a nightmare. What should I do? All right, I have some Hubba Bubba paste. It looks very cool and it's actually very tasty. We can make cute bubbles out of it. Let me show you. Well, it looks awesome. I will use it instead of that pretty filling. It'll be amazing. I can't wait to see her [Music] reaction. What kind of yummy food has been prepared this time? Wow, is that a huge Oreo? It looks great. I want to try it. Wow, it's chocolate. But it's really uncomfortable to eat. Okay, let's leave it. And what is this? It looks delicious. We should try it soon. H. Not bad. But I'm not amazed. This looks more interesting. It's Oreo bud. Why is the filling pink? Wow, it smells great. And that's gum inside. Cool. That's so unusual. I really like it. And can I blow bubbles? Wow, it's so cool. Sisters Oreo win. Really? I've won. Hooray. I'm so cool. Chef, there you go. [Music] This time I want pancakes. Oh, easy as pie. I'm the best at pancakes. No way. I'll make the best pancakes. I allow you to be the best after me. Uh, how to cook pancakes? Well, improvisation is my everything. Now, we will mix in a blender everything. And well, something will turn out. What to mix then? Like this. Some milk. Um, what else? Maybe some flour. I hope that's enough. I actually don't have anymore. Well, let's turn it on. Oh goodness, everything is flying all over. I'll have to turn it off. Somebody stop this flower storm. It seems to have stopped. I have flour everywhere. But the dough is ready. Now we should bake it. I think it's pretty cool. And there's a real fight between grandma and the chef. I have everything under control. I'm starting to bake right now. What with this frying pan? Seriously, that's so funny. This is what you should be using. This is a professional pan for professionals. Oh, whatever. I'm starting to bake. Pouring some oil so that nothing burns. You have oil like in the frying pan. The oil dispenser has been invented a long time ago. Well, the ideal amount and my pancakes will be not only delicious, but also healthy. What do you have there? I'll win. No, I'm going to win. Look what I can do. You haven't seen that? I'm pretty sure. What? You think it's impressive? Now, look at this. This is real experience. Perfect. The perfect landing. Yeah, it's pretty cool. Are you guys fighting or what's going on? What's the matter with you today? Um, I've already made my huge pancake. Now I'll just bail it off from the frying pan. Oh, pancake, wait, don't fly away. Oops. Right in the trash. What a nightmare. I've been doing it all for nothing. A brilliant idea came to me. I will improve my pancakes. I will cook them in the shape of a heart. Perfect. I hope the baby will appreciate it. I put all my love into these pancakes. Adding a little syrup, berries, and some hearts. Perfect. What do you think, chef? It's so funny that my stomach is literally hurting. Look at my hands. I'm pouring two chocolate paste into the mold at the same time. When the baby picks it up, it'll be delighted. Huh, that's so cool. Wow, it looks cool. But guys, stop fighting. The baby will decide on everything. Oh, they have such beautiful pancakes. What about me? Oh, I actually have an idea. I have a donut. It's round and plump. But we can flatten it. There you go. A pancake. Wait, where is it? There's my pancake. Well, it's better. Wow, everything looks great except this one. What is that? A pan. Have to tear it off. Oh, it's kind of scary to even try. I don't want that. Wow. Wow. What cute pancakes. Granny definitely did it. We need to try it soon. A very familiar taste. Delicious pancakes from the best grandma. Thanks. That's perfect. Wow. Wow. What's here? We need to lift it up. So beautiful. Chef, you're genius. We need to try it soon. Yeah, it's delicious. But what to choose? Grandma or chef? Choose me. Not me. I'm the best. I choose grandma. Yeah, she has the best pancakes. Me? Oh, hooray. Victory, chef. Did you get that? I'm the queen. Guys, you urgently need to hide everywhere. Freddy catches up with you. Get under the boxes, girls. There are so many of them here, and they will definitely not find them. Girls, be careful. That's it. He's coming. Hi, Freddy. There's definitely no one here. I think he's right behind my box. Goodies. How scared am I? I think this box is hiding somebody. Well, you're going to get from me now. Ah, here you go for mocking me. [Music] And now my signature jump. Here you go. Uh, I hear your voice. Here you go. Uh, why is it peeking or something? It was just a chicken. Well, okay, girls. It's okay. Freddy found a chicken, but you still need to be even quieter. Hm. But there are so many options for hiding here that a bomb can help me. It will definitely find a bully. Now I have to choose where my bomb will go. Uh, I think that's the box. I think I should look out. Huh? Freddy isn't here. Maybe he left. Well, then I'm going to try to peek and sneak out of here. Uh-oh. I almost got busted. Careful. Careful. Just like that. Oh no. Peekab-boo. Who lives in this house? I have a surprise for you. My Bob wants to say hi to you. Here you go. I'll move away so it doesn't hurt me. Oh no, it's a bomb. What did I do? What did I do? Okay, let's try again. Oh, it worked. Hooray. Where is the bomb? Why didn't the box fly to the moon? Strange. The bomb usually doesn't fail. What did you do to it? Hi, Freddy. And I found your bomb here. Will you take it? So, you put it out. Give me my bomb back here. I need it. This is not your property. Come on. Here you go. Great. Now, I need to lit it up again. I'm going to resurrect you now. Ready? Take it now. Oh, thank you. Wait a minute. Did you light it up again? Damn. What am I supposed to [Music] do? It was easy. Minus one. There are still a couple of people left and I already have an idea how to get rid of other bullies. Oh  Ah, here is another one. I'm going to pierce one of the boxes along with a scoundrel who was playing with me. Oh no. Knock knock. Who's there? Maybe Freddy already left. Oh no. Here's right there. Oh, that's definitely someone in the box. I need to introduce myself with my stakes. Well, hold on bully. Let's take two at once. I think that's not enough. The box is too big. Let's try another one. Help me. I'm so scared. Well, and finally the last one. Ah, it hurts. Was it Miley? I'm falling. Catch me. I found you. You've lost. Do you know what they do to losers? Great. There are three more left. Wonderful. I should find him as soon as possible. I've already got an idea. Is he gone? I'm back. I'm going to knock down all the boxes when I ride my moped. This will be the fastest and the best option. You just need to exhilarate to catch the bully for sure. They'll find out what kind of offending Freddy I am. Well, it's been a long time since I've written a moped. Let's go. Wait, it's something wrong with it. Ah, damn it. It's broken. I have to find the solution. Well, let's see. There are a lot of wires here. Uh, even more than in me. Got it. No working with hands. Ooh, thank you. Now I'm going to fix it. Maybe there are other instruments. Oh, thank you. A chainsaw. Perfect. I'm down with a chainsaw now. I'm going to put things in order here. H I definitely need something. Wo! Chocolate? Wait, chocolate. Freddy, this chocolate bar is for you. We want to make peas. Oops. It seems we only made him angrier. And fear all the hooligans. I'm going to catch you all now. No girls, he's going to destroy us. Let's go. Where are you running off to? I already know where you are. You definitely could hide from me right now. Oh, there's the bully. Wait, what? Oh, here you are. I'm coming after you. Wait, where are you? Ah, not here either. Ah, where are you? You're only making Freddy angrier. We're here, Freddy. Well, now you've made me furious. That's it. I'll catch you all right now, you scoundrels. Where is my machine? Now I need to play it. This animal will definitely find the right box. Let it be this one. Now you're going to get it. Oh no. Help me. Did I get it? Yay. H. Who was under [Music] there? I can't wait to see who it is. Hi, Freddy. What's up? I'm a little smeared. Only two more left. Oh no, poor Phoebe. Ooh, there's definitely someone hiding around under this box. I need to listen. I can definitely hear the chatter of teeth trembling with fear. It's time to deal with this bully, too. Oh, I only need to hide somewhere else. Maybe here. No, Quentyn's here. I'll try another place. I just heard someone walking. I need to identify the target. Ooh, there's definitely someone in this box. Now I'm going to run away and rush straight into the box with all my might. The bully will regret that. Oh no. Falling. I'm sorry, Freddy. Are you all right? I can't stick my head out. Ow. The head is disconnected again. I can't see anything. Whoa. Freddy's head is here. Sophie, look at that. He didn't find us. Yeah, we played you. Give me the head back.",1,The video transcript and its context do not contain any claims that lack credible evidence
jQjYSRiFhKRiIwYXXFxmIQFTPjo,EASTER Stuffed Meatloaf #cooking #recipe #italianfood #thepastaqueen,To get the full written recipe join The Royal Court of Pasta here: https://theroyalcourtofpasta.com.,The Pasta Queen,2025-04-18T19:45:04Z,"{'default': {'url': 'https://i.ytimg.com/vi/25B1Y0jjQ-A/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/25B1Y0jjQ-A/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/25B1Y0jjQ-A/hqdefault.jpg', 'width': 480, 'height': 360}}",UCChxSeTVekWoYJjowt6BqWA,25B1Y0jjQ-A,60,235234,en,25B1Y0jjQ-A,"ingredients. Salt. Freshly grated parmy. Start flattening. slices. Mommy cooked spinach. [Music] And now let's bake it in the oven. Did you know that for fully written recipes, we have an exclusive club, the Royal Court of Pasta? Join now. Link in bio. Just gorgeous. Nana would be proud.",1,The video transcript and description focus solely on cooking and recipe instructions
aTNddEXcqM9bv1nyo-DuQ0MnE7I,Dubai Chocolate Recipe | FeelGoodFoodie,https://feelgoodfoodie.net/recipe/dubai-chocolate-bar/,Feelgoodfoodie,2025-04-14T01:33:19Z,"{'default': {'url': 'https://i.ytimg.com/vi/lCUQJNyg3i0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/lCUQJNyg3i0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/lCUQJNyg3i0/hqdefault.jpg', 'width': 480, 'height': 360}}",UCHXR2PMLlJoYMALAnVNp7jQ,lCUQJNyg3i0,27,111092,en,lCUQJNyg3i0,"If you still haven't tried the Dubai chocolate, I'm breaking it down into a few easy steps. First, you can start with any chocolate bar or chocolate chips. Melt it and pour it into a chocolate mold or even a loaf pan. Next, you'll have to buy katifi, which is shredded fileo and fry it with oil or butter. Then, mix it with pistachio butter and tahini. Then, cover it with another round of melted chocolate and let it set in the freezer. It is so satisfying to peel the chocolate bar. It has a nutty sweet taste and such a good crunch. So good.",1,The video transcript provides a straightforward recipe for making Dubai chocolate and does not contain any claims that lack credible evidence or promote unfounded theories. There is no language suggesting secrecy
nCcLUKLpyuo3raXWVjxAYOadvBQ,korean spicy chicken stew (one pot recipe!),,TIFFYCOOKS,2025-04-01T16:00:09Z,"{'default': {'url': 'https://i.ytimg.com/vi/A9dkVgkjGy8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/A9dkVgkjGy8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/A9dkVgkjGy8/hqdefault.jpg', 'width': 480, 'height': 360}}",UCCMAz1jZ4_IyhthHk23EMJQ,A9dkVgkjGy8,29,181903,en,A9dkVgkjGy8,"I think we can all agree that one pot dinners are the best meals. Welcome to episode two of Back to the Basics. Today we're making Korean spicy chicken stew. Marinate the chicken with lots of onion, Korean red chili flakes, Korean red chili paste, sugar, soy sauce, a pinch of dashi, and lots of garlic. Next, add everything into a pot and pour in chicken stock. Once simmering, cover and cook for 15 minutes. After 15 minutes, add in the potatoes and the carrots. Mix well and simmer for another 15 minutes. Now look at",1,The video transcript describes a straightforward cooking recipe for Korean spicy chicken stew. There is no mention of claims lacking credible evidence
1Yl7y2yLiPQ_b8fCN_1VnFqtL-w,carrot cake baked oatmeal 🥕 #recipe #oats #shorts,,Carleigh Bodrug,2025-04-13T17:13:29Z,"{'default': {'url': 'https://i.ytimg.com/vi/uwg5OkxSQVI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/uwg5OkxSQVI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/uwg5OkxSQVI/hqdefault.jpg', 'width': 480, 'height': 360}}",UCiE57zg8KxrZpV_eWMjluVA,uwg5OkxSQVI,17,137503,en,uwg5OkxSQVI,"You guys are such fans of my one pan recipes, and today I have a perfect one for the spring and Easter season. This is my carrot cake baked oatmeal. You dump everything into a casserole, and the oven does the work for you. It tastes like carrot cake, but is gluten-free, vegan, and full of fiber and nutrients.",1,The video transcript is focused on sharing a recipe for carrot cake baked oatmeal
gh0o4P3097vetzIu-bNJEF0YymM,deviled potatoes 🥔 #recipe #easter #shorts,,Carleigh Bodrug,2025-04-04T22:55:51Z,"{'default': {'url': 'https://i.ytimg.com/vi/-MFP_V9PAZg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/-MFP_V9PAZg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/-MFP_V9PAZg/hqdefault.jpg', 'width': 480, 'height': 360}}",UCiE57zg8KxrZpV_eWMjluVA,-MFP_V9PAZg,24,87956,en,-MFP_V9PAZg,"No eggs, no problem. We're making devild potatoes. With egg prices on the rise, who can afford to make deled eggs this Easter? Instead, we're boiling some mini potatoes, scooping them out, and keeping things plant-based by adding Chosen Foods avocado oil, mayo, chives, pickles, mustard, salt, and pepper to those insides. Give that a good mash. And if you want that deileled eggs look, pipe them back into your mini potatoes. I promise you won't miss the",1,"The video transcript is focused on providing a recipe for ""deviled potatoes"" as an alternative to deviled eggs due to rising egg prices. It offers a creative"
9WS90ENUqpux3B1xSCQ7uq3b8ZE,🍚 The Ultimate Creamy #Risotto Recipe You Can&#39;t Resist! ✨ #RisottoRecipe #RecipeShorts #Recipe,You can find the full printable recipe with tips and directions on my website which is linked here: ...,The Modern Nonna,2024-03-27T12:30:33Z,"{'default': {'url': 'https://i.ytimg.com/vi/XTA5GCJkNyQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XTA5GCJkNyQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XTA5GCJkNyQ/hqdefault.jpg', 'width': 480, 'height': 360}}",UCaHpoRxdXWQJTrtkVMJbWXw,XTA5GCJkNyQ,34,221544,en,XTA5GCJkNyQ,if you want to eat and live like an Italian you're going to make rizoto let's go to a big pan add a little bit of olive oil and butter sauté the onion and garlic add in the white wine and let it cook off completely add the arboro rice and salt and cook for a few minutes now one ladleful at a time add a little bit of broth until the rice absorbs it and keep repeating this step until it's fully cooked when the rice is all Dente take it off the heat add some butter and perano optionally you can add some sauteed mushrooms and chives follow for more,1,The video focuses on providing a culinary recipe for risotto and does not contain any claims that lack credible evidence
e-OIhCwm5nGS-XEURoqzDE-11CM,I’m Sorry✌️💔 #fortnite #gaming,,TogoZB,2025-04-23T18:20:00Z,"{'default': {'url': 'https://i.ytimg.com/vi/J8-e0JKdUxg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/J8-e0JKdUxg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/J8-e0JKdUxg/hqdefault.jpg', 'width': 480, 'height': 360}}",UC1PcbGFipHcjmqcvMgnmVcg,J8-e0JKdUxg,60,88836,en,J8-e0JKdUxg,"I accidentally cheated in Fortnite. I was playing squads with subs when all of the sudden I got the infinite slide glitch. Of course, if you accidentally get the slide glitch, it is by no means cheating. And if anything, it's a disadvantage, making it harder to move and aim. But I was still able to line up shots like this to help my team. And after I took the player with the rift gun out of the sky, I was able to hit these shots on his teammate. Got that? I got So, of course, at this point, I am not cheating by any means. But then something interesting happened. And you see, I had the infinite slide glitch and the Fletcher cane medallion, which allows you to deal damage when you crash into somebody. Look what happened when I entered the passenger seat of an enemy's car. You guys here? Wait. As you can see, I was able to eliminate Harley Quinn because my medallion was hitting her over and over again since I had the infinite slide glitch. And because of this, it helped us win the game in the final 4v4.",1,The video transcript describes a gameplay incident in Fortnite
olxrBmS0y8Bpec53TFRkY87hEqQ,Bro did not say part six 😭✌🥀 #warthunder #gaming #edit #transition,Please Subscribe and Join my Discord! (Link in BIO!) #warthundertanks #warthundermemes #tanks #warthundermoments ...,Exnic,2025-04-22T14:00:03Z,"{'default': {'url': 'https://i.ytimg.com/vi/1RIjaNalixI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1RIjaNalixI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1RIjaNalixI/hqdefault.jpg', 'width': 480, 'height': 360}}",UC4fG5AsUcg1GMnU7B1s7rxw,1RIjaNalixI,59,94454,en,1RIjaNalixI,"What your favorite tank says about you. Part six. Jumbo. The most overrated tank ever. The armor works half of the time and the penetration is really mid. It's just a regular Sherman wearing a slightly thicker hoodie. Every Tiger and Panther you meet. Your top speed is measured by emotional damage per hour. To be honest, it's not worth using. IT1. The IT1 is that guy who shows up to a knife fight with a missile launcher. If you miss your shot, you're basically dead if you're not hiding behind anything. But if you do hit someone, it's almost a guaranteed kill. Rate of 501, you've got a gun that can shred if it ever decides to aim at what you're pointing at. The crew sits in the open like they're sunbathing, and the armor might as well be wrapping paper. The Brada is the kind of vehicle you unlock and instantly regret. And the Gooner skins are historically accurate. Just look at these World War II photos.",1,The video transcript primarily discusses opinions and humorous commentary about various tanks in a video game
dkEoCkAbKyBsLXOsvIOLJDXf3_8,බිල්ලා අයියා ගේම් එකෙන් යනවලු 😪🥺 free fire billa gaming #freefire #billa #foryou #sad #sinhala,බිල්ලා අයියා ගේම් එකෙන් යනවලු free fire billa gaming #freefire #billa #foryou #sad #sinhala.,GAMING SAVI ACADEMY ,2025-02-12T10:19:05Z,"{'default': {'url': 'https://i.ytimg.com/vi/0OtZ485MQFk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/0OtZ485MQFk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/0OtZ485MQFk/hqdefault.jpg', 'width': 480, 'height': 360}}",UCFj5981NNeBnSVvMKGN2e8g,0OtZ485MQFk,22,136391,en,0OtZ485MQFk,[Music] put up been,1,The video content appears to be related to gaming
